12.12.2023,Отзывы о кредитовании бизнеса в Тинькофф Банке,5,," Без залога получил здесь кредит. Отправлял заявку еще в два банка, оба одобрили с залогом. Решил что если и Тиньков залог попросит не буду брать. А тут получилось что без. Не зря я тут регистрировался ип в 2018 году) С деньгами достаточно быстро вышло. И по запросу сумму можно как угодно получить... и деньгами бумажными и на карту. Если там типа речь заходит про кредиты и возможности у меня есть что сказать по этому поводу. Не агитирую . Рассказываю. Выводы сами делайте. Сложностей минимум"
05.12.2023,Отзывы о кредитовании бизнеса в Тинькофф Банке,1,," Заказал кредитную карту. Договорено время встречи с представителем. Представитель Мария опоздала. Сфотографировала меня, паспорт, установила в мой телефон приложение. Потом заявила что карту надо заказывать снова. Итог: Прождал ее полдня, потерял деньги за рабочий день 4000 р., карты не получил. Спрашиваю в банке -как это так получается? В ответ - так не должно быть))) Я ЗНАЮ - что так не должно быть))) Но есть. Отношение к клиенту наплевательское."
21.11.2023,Отзывы о кредитовании бизнеса в Тинькофф Банке,5,," Не первый раз беру кредит в Tinkoffе. Первый кредит три года назад брала еще как физическое лицо, потом вот крайний полгода назад. Ипешник в этом банке я с прошлой зимы. Мне осталось последний платеж и я в 6 месяцев погашения уложилась. Кредит дали без залога. Поручителей тоже не просили вести. Никаких запросов не делали. Банки, я знаю, могут требовать кучами доки, и еще смотрят, чтобы заполнены были правильно, к мелочам придираются вечно. Но здесь выписку со счета прислала и все. Очень советую."
31.10.2023,Отзывы о кредитовании бизнеса в Тинькофф Банке,4,," Хотелось поблагодарить всех работников этого банка,которые приняли участие в решении моего вопроса открытии ИП и расчетного счета своевременно и быстро огромное спасибо за помощь хотелось бы еще получить помощь в кредите для поднятия бизнеса Спасибо руководству за приятное общение и хорошую команду."
03.10.2023,Отзывы о кредитовании бизнеса в Тинькофф Банке,5,," Плохая кредитная история была но не в тинькове 8 лет назад. Вроде давно, а все равно отказывают. Либо процент указывают бешеный. Мне такое зачем? В Тиньков обратился с такой же просьбой, кредит на развитие бизнеса спрашивал. Кто то пишет, что вот три дня, у меня больше было рассмотрение. Ну, опять же, думаю, что из за кредитной истории. Перечислили мне на счет всю запрошенную сумму, это в оконцовке. Все 100% запрошенные деньги. Просил на 6 месяцев. Планирую погасить раньше. Вот."
05.09.2023,Отзывы о кредитовании бизнеса в Тинькофф Банке,3,,"Неожиданные нюансы Когда выбирала, где подключить эквайринг, сравнивала условия в разных банках и остановилась на Тинькофф. Потом открылись такие нюансы: 1. касса предоставляется в аренду; 2. ФН к ней подключен, и ничего сделать нельзя, т.к. уже на 3 года вперед все оплачено. Менеджер приложила много усилий, чтобы решить ситуацию. Мне предложили доп. условия – если бы не это, сменила бы банк из принципа."
03.08.2023,Отзывы о кредитовании бизнеса в Тинькофф Банке,3,,"Плохо налажена коммуникация Подала заявку на открытие ИП (я живу в Тольятти). За день мне позвонили 4 менеджера! Я уже в личном кабинете оставила заявку и все открыла, а они продолжали звонить. Пришлось общаться со службой поддержки."
12.07.2023,Отзывы о кредитовании бизнеса в Тинькофф Банке,5,,"Оперативно Я веду свой бизнес с Тинькофф банком с 2020 года. Было несколько ситуаций, когда мне как ИП пришлось быстро решать вопросы с операторами. Например, я получила уведомление от налоговой службы - требовали пояснения к декларации 2022 года. Я позвонила в службу поддержки, там мне помогла менеджер Виктория. Пока решался вопрос с моим бухгалтером в банке, все подробно объяснили. Хочу отдельно поблагодарить отдел бухгалтерии банка Тинькофф, который ведет мое ИП, за оперативность."
28.06.2023,Отзывы о кредитовании бизнеса в Тинькофф Банке,3,,"Ждал 7 дней Добрый день! Ситуация такая: 02.02.2023 банк запросил документы по нескольким контрагентам, а приостановил операции по счету 05.06.2023. Пакет документов, который запрашивал банк, был предоставлен в первой половине дня 05.06.2023. Деньги на счет в другом банке переводили 7 дней, техподдержка сослалась на статью 859 ГК РФ."
12.04.2023,Отзывы о кредитовании бизнеса в Тинькофф Банке,5,,"Быстро решают вопросы Решили проблему с рассрочкой для клиентов онлайн. Сотрудники банка всё сделали за 5 минут, практически без моего участия! Сами предложили помощь, и с документами тоже помогли разобраться. Спасибо!"
27.03.2023,Отзывы о кредитовании бизнеса в Тинькофф Банке,4,,"Не уведомили об уменьшении лимита В общем всё неплохо, но при подключении овердрафта будьте готовы, что его лимит пересматривается раз в месяц. Мне вот неожиданно урезали его в несколько раз. Причину банк не объясняет, но можно подать заявку, чтобы опять увеличили лимит. Пуши с уведомлениями тоже запаздывают, лучше пишите в техподдержку."
23.03.2023,Отзывы о кредитовании бизнеса в Тинькофф Банке,5,,"Отличное сопровождение Мне нужен был расчетный счет для ИП, для чего я обратилась на горячую линию банка. Там менеджер помогла создать заявку на открытие ИП, подобрала ОКВЭДы и посоветовала хорошие опции к услуге «Старт на маркетплейсах». Понравилось, что очень много в программе сопровождения бизнеса можно использовать бесплатно. Всё можно сделать очень быстро."
10.03.2023,Отзывы о кредитовании бизнеса в Тинькофф Банке,5,,"Очень помогают сотрудники Большое спасибо поддержке банка за помощь в сложившейся ситуации! Я оформляла расчетный счет и ИП по ссылке, которую прислал мой знакомый. И почему-то у друга не отображалось, что заявка оформлена в рамках акции. Мы обратились на горячую линию 16.03.2023. Сотрудники разобрались в ситуации и предоставили быстрый ответ и результат. В акцию включены, бонусы перечислили и мне, и другу."
01.03.2023,Отзывы о кредитовании бизнеса в Тинькофф Банке,5,,"Удобно работать Зарегистрировал ИП и открыл расчетный счет —  всё через Тинькофф сделал в середине июля. Когда пошли активные продажи, отметил для себя расширенный бизнес-день, оперативные зачисления, понятную детализацию операций в личном кабинете. Понравилась онлайн-бухгалтерия — легко сформировать и отправить платежку, есть календарь обязательных платежей, то есть ничего не пропустишь, могу сформировать КУДиР сам. Все декларации и акты легко подписываются, загружаются — все очень удобно."
26.02.2023,Отзывы о кредитовании бизнеса в Тинькофф Банке,4,,"Спасибо персональному менеджеру Хочу поделиться своим опытом, как я брал кредит для бизнеса. Обратился с заявкой на оборотный кредит. Сразу дали персонального менеджера и помогли запросить выписку из прежнего банка. Оперативность скоринга заявок радует. Когда загружал выписку, опять потребовалась помощь менеджера, мне помогли, все отправилось. Кредитный менеджер что-то подвис, и я долго ждал его ответа, но персональный его поторопил и все согласовалось. Кредит одобрили, условия достаточно хорошие."
12.02.2023,Отзывы о кредитовании бизнеса в Тинькофф Банке,3,,"Долго отвечают 25.12.22 инициировал услугу, сняли 6 тыс. за обслуживание сразу. 2 дня ждал ответа (время поджимало). Тинькофф выдал платежки по взносам за 2022 (без участия бухгалтера). Я на УСН перешел с 01.09.2022, до этого 6 мес. работал как самозанятый (НПД). Мой бухгалтер пересчитал сумму взносов, которую неправильно начислил Тинькофф, предоставил все необходимые документы из налоговой, что был снят с учета по НПД 28.08.22 и с 01.09.22 переведен на УСН. Бухгалтер пришла с решением, что нужно проводить ликвидацию ИП, т.к НПД и УСН несовместимы. Я указал, что вот документы, подтверждающие, что был я  снят с НПД и потом перешел на УСН в связи с приближением лимита НПД в 2,4 млн. Пока ждал ответа, приближались пени от налоговой за несвоевременную уплату страховых взносов, но  проблема была все-таки решена, банком сформированы все необходимые счета для уплаты страховых взносов и авансовых платежей, подготовлены счета по оплате налогов и декларация."
2.02.2023,Отзывы о кредитовании бизнеса в Тинькофф Банке,5,,"Минусов нет! Главное, почему Т был выбран — совет друга. Также было важно, что ИП можно открыть непосредственно через них с использованием электронной подписи, которая в банке действует для подписания всех переводов по фиксам и в налоговую (но НЕ подходит для передачи декларации, как и положено, для этого требуется ЭЦП). Комфортно устроена эл. бухгалтерия: указаны периоды оплат, типы, методы расчета, ссылки на регламенты и т.п. Мобильное приложение не использовал, т.к. все необходимое есть в интернет-версии банка. Очень хороший уровень техподдержки (менеджер Ольга). А именно: в ЛК через чат я за четыре месяца успел решить три-четыре важных вопроса, менеджер сама перезванивала и объясняла непонятные моменты. Там же я уточнял самые разные вопросы, в т.ч. не касающиеся именно услуг банка, а, скорее, из юридической области (по налогообложению, например). Минусов пока не нашел: интернет-банк работает нормально, на р/с почти мгновенно приходят входящие поступления, бухгалтерия работает стабильно, менеджер отвечает оперативно в чате и по телефону. Банк хороший для ИП с удобным личным кабинетом и доступная поддержка."
30.01.2023,Отзывы о кредитовании бизнеса в Тинькофф Банке,3,,"Не понравился конструктор сайтов После открытия ИП стали приходить предложения подключить РКО, из Тинькофф позвонили с предложением платного тарифа, взял из-за встроенного конструктора сайтов. Перенес в него сайт моей компании, при попытке подключения своего домена выходили различные ошибки — от 504-й ошибки до ошибки DNS записей. Техподдержка предложила использовать бесплатный домен ТРЕТЬЕГО уровня, но у меня сайт с историей с постоянными клиентами, трафиком с поисковиков — подключить его, потерять все. Приближается срок проверки сайта регулирующей организацией, а его нет на необходимом домене, попадаю на штрафы и отзыв лицензий. С трудом удалось наладить работу в этом конструкторе (писал и отзывы, и техподдержку подключал) — сейчас все нормально, но ситуация много нервов потребовала."
03.02.2022,Отзывы о кредитовании бизнеса в Тинькофф Банке,5,,"Помогли найти кредит для ИП Взяла кредит со второй попытки. Сначала подала в другой банк, там был отказ, но в Развивай мне предложили дополнительные варианты. Я выбрала Тинькофф-банк, и это было отличное решение! Во-первых, не нужно никакое обеспечение, во-вторых, банк принимает решение и предлагает условия уже на следующий день. И счет нужно открывать только после решения."
